symbol,name,price,pct_change,market_cap,security_type,last_close,last_volume,avg_volume_20d,volume_ratio,day_change_pct,score,reasons,float_shares
SLGB,Smart Logistics Global Limited Class A Ordinary Shares,0.75,-23.462,32250000.0,Common,0.75,3319400.0,9914825.0,0.33479158734521286,-23.469389244597508,31.7,"['Day change -23.5%', 'Very low float (3.0M sh)', 'Micro-cap (<$50M)']",3000110.0
QTEX,QTREX Quantum Ltd. Ordinary Shares,0.906,-23.22,44529024.0,Common,0.906000018119812,11235200.0,4682245.0,2.399532702795347,-23.220334034546653,30.6,"['Volume 2.4x 20d avg', 'Day change -23.2%', 'Micro-cap (<$50M)']",32178490.0
ZNB,Zeta Network Group Class A Ordinary Shares,0.2962,-21.14,468232.0,Common,0.30000001192092896,4081300.0,3810695.0,1.071011980754167,-21.052627451201833,30.5,"['Day change -21.1%', 'Very low float (1.5M sh)', 'Micro-cap (<$50M)']",1506504.0
JF,J and Friends Holdings Limited American Depositary Shares,0.8718,1.372,15988946.0,ADS/ADR,0.8700000047683716,25800.0,10250.0,2.5170731707317073,1.1627895694091224,28.2,"['Volume 2.5x 20d avg', 'Low float (10.6M sh)', 'Micro-cap (<$50M)']",10556776.0
BYAH,"Park Ha Biological Technology Co., Ltd. Class A Ordinary Shares",0.43,-15.917,2736613.0,Common,0.4300000071525574,533400.0,5278770.0,0.10104626645980029,-15.851266925357836,27.9,"['Day change -15.9%', 'Very low float (0.4M sh)', 'Micro-cap (<$50M)']",425639.0
OMH,Ohmyhome Limited Class A Ordinary Shares,0.361,-55.216,10264841.0,Common,0.3610000014305115,10453000.0,15500880.0,0.6743488111642694,-55.210917618689415,25.0,"['Day change -55.2%', 'Micro-cap (<$50M)']",21285151.0
LOOP,"Loop Industries, Inc. Common Stock",0.9252,23.36,44761519.0,Common,0.925000011920929,154300.0,84765.0,1.820326785819619,23.333334922790527,24.9,"['Volume 1.8x 20d avg', 'Day change +23.3%', 'Micro-cap (<$50M)']",26791114.0
CURX,Curanex Pharmaceuticals Inc Common Stock,0.2032,0.495,5763730.0,Common,0.2029999941587448,134800.0,65970.0,2.04335303926027,0.49504311414783325,23.4,"['Volume 2.0x 20d avg', 'Low float (8.9M sh)', 'Micro-cap (<$50M)']",8912468.0
GCL,GCL Global Holdings Ltd Ordinary Shares,0.46,5.747,58884003.0,Common,0.46000000834465027,214000.0,65070.0,3.2887659443676043,5.747127775503971,22.9,['Volume 3.3x 20d avg'],
GCTK,"GlucoTrack, Inc. Common Stock",0.3059,-18.405,2361279.0,Common,0.3059999942779541,1064400.0,8663400.0,0.1228616940231318,-18.400001525878906,22.2,"['Day change -18.4%', 'Low float (6.2M sh)', 'Micro-cap (<$50M)']",6200880.0
DFDVW,DeFi Development Corp. Warrant,0.3499,-2.806,10538360.0,Warrant,0.3499999940395355,8500.0,3170.0,2.6813880126182967,-2.777783296726149,21.8,"['Volume 2.7x 20d avg', 'Micro-cap (<$50M)']",21464944.0
MVIS,"MicroVision, Inc. Common Stock",0.2998,-11.824,105005059.0,Common,0.30000001192092896,29417700.0,11370640.0,2.5871630796507494,-11.764703304297399,21.8,"['Volume 2.6x 20d avg', 'Day change -11.8%']",326455351.0
SLXNW,Silexion Therapeutics Corp Warrant,0.0301,-39.437,32000.0,Warrant,,,,,,20.0,"['Very low float (0.4M sh)', 'Micro-cap (<$50M)']",414621.0
AENTW,Alliance Entertainment Holding Corporation Warrant,0.4999,15.744,25484717.0,Warrant,,,,,,20.0,"['Very low float (3.4M sh)', 'Micro-cap (<$50M)']",3391342.0
XBPEW,"XBP Europe Holdings, Inc. Warrant",0.0522,30.175,614292.0,Warrant,,,,,,20.0,"['Very low float (4.4M sh)', 'Micro-cap (<$50M)']",4379833.0
BNAIW,Brand Engagement Network Inc. Warrant,0.124,-23.692,806953.0,Warrant,,,,,,20.0,"['Very low float (4.2M sh)', 'Micro-cap (<$50M)']",4160885.0
CDTTW,CDT Equity Inc. Warrant,0.01,-33.333,6311.0,Warrant,,,,,,20.0,"['Very low float (0.4M sh)', 'Micro-cap (<$50M)']",396879.0
EDBLW,Edible Garden AG Incorporated Warrant,0.0328,-18.0,9966.0,Warrant,,,,,,20.0,"['Very low float (0.1M sh)', 'Micro-cap (<$50M)']",120566.0
SMXWW,SMX (Security Matters) Public Limited Company Warrant,0.02,-17.012,19572.0,Warrant,,,,,,20.0,"['Very low float (1.0M sh)', 'Micro-cap (<$50M)']",967266.0
KIDZW,KIDZ AI Inc. Warrants,0.0143,-15.882,29389.0,Warrant,,,,,,20.0,"['Very low float (0.8M sh)', 'Micro-cap (<$50M)']",781354.0
DRMAW,"Dermata Therapeutics, Inc. Warrant",0.0091,-21.552,36602.0,Warrant,,,,,,20.0,"['Very low float (3.2M sh)', 'Micro-cap (<$50M)']",3169006.0
CDIOW,Cardio Diagnostics Holdings Inc. Warrant,0.0128,-23.81,37881.0,Warrant,,,,,,20.0,"['Very low float (2.8M sh)', 'Micro-cap (<$50M)']",2833899.0
RVSNW,Rail Vision Ltd. Warrant,0.0229,34.706,50201.0,Warrant,,,,,,20.0,"['Very low float (2.1M sh)', 'Micro-cap (<$50M)']",2091587.0
NEXRW,Nexera Technologies Ltd Warrant,0.0288,51.579,176604.0,Warrant,,,,,,20.0,"['Very low float (0.8M sh)', 'Micro-cap (<$50M)']",806887.0
CTOR,"Citius Oncology, Inc. Common Stock",0.5732,0.561,53296826.0,Common,0.5730000138282776,116900.0,56865.0,2.0557460652422406,0.526319476926362,18.6,"['Volume 2.1x 20d avg', 'Low float (17.7M sh)']",17721288.0
CTXR,"Citius Pharmaceuticals, Inc. Common Stock",0.5623,3.08,15436580.0,Common,0.5619999766349792,654600.0,280885.0,2.3304911262616375,2.930397931959006,18.3,"['Volume 2.3x 20d avg', 'Micro-cap (<$50M)']",26959796.0
TRIB,Trinity Biotech plc American Depositary Shares,0.3033,-15.445,6142089.0,ADS/ADR,0.33550000190734863,137088.0,3767600.0,0.036386028240789896,-9.495548866000334,17.7,"['Day change -9.5%', 'Low float (15.9M sh)', 'Micro-cap (<$50M)']",15928929.0
SEGG,Sports Entertainment Gaming Global Corporation Common Stock,0.6621,-10.394,15106742.0,Common,0.6620000004768372,1105400.0,644960.0,1.7139047382783428,-10.419488443756647,17.3,"['Volume 1.7x 20d avg', 'Day change -10.4%', 'Micro-cap (<$50M)']",
HAO,Haoxi Health Technology Limited Class A Ordinary Shares,0.187,-9.135,1369313.0,Common,0.18700000643730164,20537600.0,12053965.0,1.7038045157755146,-9.22329795103247,16.6,"['Volume 1.7x 20d avg', 'Day change -9.2%', 'Micro-cap (<$50M)']",
RMSG,Real Messenger Corporation Ordinary Shares,0.391,0.929,3468671.0,Common,0.39100000262260437,535500.0,247460.0,2.1639860987634365,1.0335938405452516,16.6,"['Volume 2.2x 20d avg', 'Micro-cap (<$50M)']",0.0
EURKR,Eureka Acquisition Corp Right,0.34,17.241,,Right,,,,,,15.0,['Very low float (3.1M sh)'],3072834.0
RDACR,Rising Dragon Acquisition Corp. Rights,0.1019,19.601,,Right,,,,,,15.0,['Very low float (3.6M sh)'],3583889.0
ARAI,Arrive AI Inc. Common Stock,0.3066,-7.734,15900076.0,Common,0.3070000112056732,922100.0,463260.0,1.9904589215559296,-7.530113587247335,14.9,"['Volume 2.0x 20d avg', 'Micro-cap (<$50M)']",
BRRWW,"ProCap Financial, Inc. Warrant",0.3048,16.291,27606810.0,Warrant,0.3050000071525574,1400.0,42525.0,0.03292181069958848,16.412218906934967,13.2,"['Day change +16.4%', 'Micro-cap (<$50M)']",74687834.0
OSRHW,"OSR Health, Inc. Warrant",0.0478,16.302,1678673.0,Warrant,,,,,,13.0,"['Low float (14.7M sh)', 'Micro-cap (<$50M)']",14654229.0
NVNIW,Nvni Group Limited Warrants,0.0201,-46.4,235012.0,Warrant,,,,,,13.0,"['Low float (9.1M sh)', 'Micro-cap (<$50M)']",9131088.0
BGLWW,Blue Gold Limited Warrant,0.04,-46.667,1633511.0,Warrant,,,,,,13.0,"['Low float (15.8M sh)', 'Micro-cap (<$50M)']",15800255.0
DSYWW,Big Tree Cloud Holdings Limited Warrants,0.023,52.318,109293.0,Warrant,,,,,,13.0,"['Low float (11.1M sh)', 'Micro-cap (<$50M)']",11139269.0
NAMMW,Namib Minerals Warrants,0.23,31.354,12531011.0,Warrant,0.23000000417232513,0.0,19800.0,0.0,0.0,13.0,"['Low float (7.6M sh)', 'Micro-cap (<$50M)']",7568186.0
BETRW,Better Home & Finance Holding Company Warrant,0.1613,-19.35,3043702.0,Warrant,,,,,,13.0,"['Low float (9.6M sh)', 'Micro-cap (<$50M)']",9571152.0
SBCWW,SBC Medical Group Holdings Incorporated Warrants,0.24,27.796,24683266.0,Warrant,,,,,,13.0,"['Low float (18.1M sh)', 'Micro-cap (<$50M)']",18112375.0
OXBRW,Oxbridge Re Holdings Limited Warrant expiring 3/26/2029,0.1151,-17.668,932468.0,Warrant,,,,,,13.0,"['Low float (7.0M sh)', 'Micro-cap (<$50M)']",7045522.0
BRLSW,Borealis Foods Inc. Warrant,0.0375,-24.85,804874.0,Warrant,,,,,,13.0,"['Low float (6.5M sh)', 'Micro-cap (<$50M)']",6468397.0
VEEAW,Veea Inc. Warrant,0.0599,28.266,3301505.0,Warrant,,,,,,13.0,"['Low float (14.1M sh)', 'Micro-cap (<$50M)']",14108070.0
ESLAW,"Estrella Immunopharma, Inc. Warrant",0.064,-18.782,2754191.0,Warrant,,,,,,13.0,"['Low float (9.1M sh)', 'Micro-cap (<$50M)']",9097054.0
DFLIW,Dragonfly Energy Holdings Corp. Warrant,0.05,26.263,640767.0,Warrant,,,,,,13.0,"['Low float (12.5M sh)', 'Micro-cap (<$50M)']",12497263.0
ANNAW,"AleAnna, Inc. Warrant",0.247,-17.667,16532797.0,Warrant,,,,,,13.0,"['Low float (9.8M sh)', 'Micro-cap (<$50M)']",9752727.0
CCIXW,Churchill Capital Corp IX Warrant,0.0111,-26.0,,Warrant,0.011099999770522118,232667.0,249834.8,0.931283392065477,-25.999999875823654,13.0,['Day change -26.0%'],23414139.0
BFRIW,Biofrontera Inc. Warrants,0.0284,-20.891,363615.0,Warrant,,,,,,13.0,"['Low float (9.1M sh)', 'Micro-cap (<$50M)']",9080004.0
